id,method,path,category,description,parameters
POST__api_geo-zones_crossing,POST,/api/geo-zones/crossing,general,API endpoint,"[{""name"": ""2020"", ""description"": ""01-08T11:17:20Z)."", ""type"": ""string"", ""required"": false}, {""name"": ""2020"", ""description"": ""01-09T11:17:20Z)."", ""type"": ""string"", ""required"": false}]"
POST__api_integrations_sent-state,POST,/api/integrations/sent-state,general,API endpoint,[]
GET__api_latest-panic-button,GET,/api/latest-panic-button,general,API endpoint,"[{""name"": ""2020"", ""description"": ""01-08T11:17:20Z)."", ""type"": ""string"", ""required"": false}, {""name"": ""2020"", ""description"": ""01-09T11:17:20Z)."", ""type"": ""string"", ""required"": false}, {""name"": ""Types"", ""description"": ""GAS_TANK_OPEN,"", ""type"": ""string"", ""required"": false}, {""name"": ""types"", ""description"": ""ENGINE_OIL, ENGINE_OIL_TEMPERATURE,"", ""type"": ""string"", ""required"": false}]"
GET__api_alarms,GET,/api/alarms,general,API endpoint,"[{""name"": ""2020"", ""description"": ""01-08T11:17:20Z)."", ""type"": ""string"", ""required"": false}, {""name"": ""2020"", ""description"": ""01-09T11:17:20Z)."", ""type"": ""string"", ""required"": false}, {""name"": ""Types"", ""description"": ""GAS_TANK_OPEN,"", ""type"": ""string"", ""required"": false}, {""name"": ""types"", ""description"": ""ENGINE_OIL, ENGINE_OIL_TEMPERATURE,"", ""type"": ""string"", ""required"": false}]"
GET__api_latest-alarms,GET,/api/latest-alarms,general,API endpoint,[]
GET__api_latest-doors-info,GET,/api/latest-doors-info,general,API endpoint,[]
GET__api_latest-info,GET,/api/latest-info,general,API endpoint,[]
GET__api_latest-position,GET,/api/latest-position,locations,API endpoint,[]
GET__api_latest-tacho,GET,/api/latest-tacho,general,API endpoint,[]
POST__api_orders,POST,/api/orders,general,API endpoint,[]
GET__api_orders_actions,GET,/api/orders/actions,general,API endpoint,[]
GET__api_orders_status,GET,/api/orders/status,general,API endpoint,[]
GET__api_orders,GET,/api/orders,general,API endpoint,[]
DELETE__api_orders,DELETE,/api/orders,general,API endpoint,[]
POST__api_partner,POST,/api/partner,partners,API endpoint,[]
POST__api_partner_employee,POST,/api/partner/employee,partners,API endpoint,[]
POST__api_partner_vehicles,POST,/api/partner/vehicles,vehicles,API endpoint,[]
DELETE__api_partner,DELETE,/api/partner,partners,API endpoint,[]
DELETE__api_partner_employee,DELETE,/api/partner/employee,partners,API endpoint,[]
DELETE__api_partner_vehicles,DELETE,/api/partner/vehicles,vehicles,API endpoint,[]
